Soersen(OptIndex), CostArea, SDI, Soersen, Jaccard, SDI_a, Soersen_a, Jaccard_a
0.426644,58532.728855,1.954754,0.426644,0.556030,5.328298,0.627110,0.715022
0.426644,58532.775199,1.954754,0.426644,0.556030,5.328295,0.627110,0.715022
0.426646,58533.594626,1.954778,0.426646,0.556031,5.328343,0.627112,0.715023
0.426646,58533.665987,1.954779,0.426646,0.556031,5.328342,0.627112,0.715023
0.426646,58533.664395,1.954779,0.426646,0.556031,5.328342,0.627112,0.715023
0.398839,51272.074276,1.706993,0.398839,0.530199,4.622183,0.604127,0.699657
0.436871,58980.846171,1.935055,0.436871,0.563475,5.199373,0.650043,0.730154
0.434947,59197.710339,1.939059,0.434947,0.560733,5.175185,0.642837,0.725384
0.404409,52796.057193,1.754470,0.404409,0.535169,4.741384,0.609060,0.703033
0.404404,52793.955390,1.754408,0.404404,0.535165,4.741252,0.609056,0.703030
0.404406,52795.022044,1.754438,0.404406,0.535167,4.741308,0.609058,0.703032
0.404404,52793.955568,1.754408,0.404404,0.535165,4.741252,0.609056,0.703030
0.404404,52793.954057,1.754408,0.404404,0.535165,4.741251,0.609056,0.703030
0.669675,291405.731781,9.379417,0.669675,0.738602,24.154056,0.775495,0.803300
0.580557,147441.956284,4.797091,0.580557,0.677535,12.572032,0.730566,0.778394
0.542716,108678.956428,3.557376,0.542716,0.649642,9.475162,0.713068,0.768351
0.475824,76240.862429,2.498966,0.475824,0.596203,6.655637,0.667757,0.741102
0.587538,141347.557978,4.613641,0.587538,0.682674,12.233631,0.740494,0.784055
0.500219,87042.338163,2.846444,0.500219,0.615974,7.556637,0.685193,0.751770
0.449245,66985.268591,2.202684,0.449245,0.574000,5.881378,0.646207,0.727506
0.425900,59204.531287,1.956379,0.425900,0.554067,5.253576,0.627251,0.715201
0.414223,55704.429879,1.845169,0.414223,0.543785,4.966946,0.617447,0.708688
0.409521,54284.524952,1.801090,0.409521,0.539696,4.858517,0.613442,0.705996
0.406816,53468.444300,1.775758,0.406816,0.537324,4.795921,0.611137,0.704442
0.405711,53169.916773,1.766251,0.405711,0.536326,4.771102,0.610175,0.703789
0.405039,52973.237173,1.760100,0.405039,0.535732,4.755781,0.609600,0.703399
0.404716,52880.447604,1.757180,0.404716,0.535445,4.748420,0.609323,0.703212
0.404574,52842.435545,1.755951,0.404574,0.535316,4.745173,0.609201,0.703129
0.404487,52818.083921,1.755164,0.404487,0.535238,4.743141,0.609127,0.703079
0.404447,52806.557678,1.754801,0.404447,0.535203,4.742225,0.609092,0.703055
0.404427,52800.804969,1.754620,0.404427,0.535185,4.741767,0.609075,0.703043
0.404417,52797.846448,1.754531,0.404417,0.535176,4.741555,0.609066,0.703038
0.404414,52797.488523,1.754515,0.404414,0.535174,4.741498,0.609064,0.703036
0.404406,52794.674011,1.754430,0.404406,0.535167,4.741309,0.609058,0.703032
0.404412,52796.778472,1.754493,0.404412,0.535171,4.741441,0.609062,0.703035
0.404409,52795.733342,1.754460,0.404409,0.535169,4.741364,0.609060,0.703033
0.404412,52796.778627,1.754493,0.404412,0.535171,4.741441,0.609062,0.703035
0.404409,52795.764711,1.754461,0.404409,0.535169,4.741367,0.609060,0.703033
0.213907,10302.836482,0.328258,0.213907,0.326099,0.891530,0.899376,0.863956
0.213907,10302.836467,0.328258,0.213907,0.326099,0.891530,0.899376,0.863956
0.213907,10302.836486,0.328258,0.213907,0.326099,0.891530,0.899376,0.863956
0.213907,10302.836482,0.328258,0.213907,0.326099,0.891530,0.899376,0.863956
0.213907,10302.836482,0.328258,0.213907,0.326099,0.891530,0.899376,0.863956
0.213878,10302.313859,0.328239,0.213878,0.326064,0.891478,0.899027,0.863796
0.213877,10302.313845,0.328239,0.213877,0.326064,0.891478,0.899027,0.863796
0.213878,10302.313863,0.328239,0.213878,0.326064,0.891478,0.899027,0.863796
0.213878,10302.313859,0.328239,0.213878,0.326064,0.891478,0.899027,0.863796
0.213878,10302.313859,0.328239,0.213878,0.326064,0.891478,0.899027,0.863796
0.211153,10275.345486,0.327172,0.211153,0.322855,0.888037,0.861331,0.846111
0.211153,10275.345485,0.327172,0.211153,0.322855,0.888037,0.861331,0.846111
0.211153,10275.345487,0.327172,0.211153,0.322855,0.888037,0.861331,0.846111
0.211153,10275.345488,0.327172,0.211153,0.322855,0.888037,0.861331,0.846111
0.211153,10275.345487,0.327172,0.211153,0.322855,0.888037,0.861331,0.846111
0.210924,10248.421594,0.326276,0.210924,0.322553,0.885564,0.864450,0.847593
0.210924,10248.421593,0.326276,0.210924,0.322553,0.885564,0.864450,0.847593
0.210924,10248.421595,0.326276,0.210924,0.322553,0.885564,0.864450,0.847593
0.210924,10248.421594,0.326276,0.210924,0.322553,0.885564,0.864450,0.847593
0.210924,10248.421595,0.326276,0.210924,0.322553,0.885564,0.864450,0.847593
0.210902,10245.142836,0.326167,0.210902,0.322522,0.885269,0.864926,0.847818
0.210902,10245.142834,0.326167,0.210902,0.322522,0.885269,0.864926,0.847818
0.210902,10245.142837,0.326167,0.210902,0.322522,0.885269,0.864926,0.847818
0.210902,10245.142835,0.326167,0.210902,0.322522,0.885269,0.864926,0.847818
0.210902,10245.142836,0.326167,0.210902,0.322522,0.885269,0.864926,0.847818
0.209780,10229.459584,0.325585,0.209780,0.321190,0.883421,0.850929,0.841069
0.209780,10229.459582,0.325585,0.209780,0.321190,0.883421,0.850929,0.841069
0.209780,10229.459585,0.325585,0.209780,0.321190,0.883421,0.850929,0.841069
0.209780,10229.459583,0.325585,0.209780,0.321190,0.883421,0.850929,0.841069
0.209780,10229.459585,0.325585,0.209780,0.321190,0.883421,0.850929,0.841069
0.203742,10174.007716,0.323455,0.203742,0.314018,0.876658,0.773794,0.801596
0.203742,10174.007714,0.323455,0.203742,0.314018,0.876658,0.773794,0.801596
0.203742,10174.007717,0.323455,0.203742,0.314018,0.876658,0.773794,0.801596
0.203742,10174.007717,0.323455,0.203742,0.314018,0.876658,0.773794,0.801596
0.203742,10174.007721,0.323455,0.203742,0.314018,0.876658,0.773794,0.801596
0.173671,10617.944288,0.333527,0.173671,0.276489,0.874321,0.448136,0.580992
0.173671,10617.944342,0.333527,0.173671,0.276489,0.874321,0.448136,0.580992
0.173671,10617.944234,0.333527,0.173671,0.276489,0.874321,0.448136,0.580992
0.173671,10617.944368,0.333527,0.173671,0.276489,0.874321,0.448136,0.580992
0.173671,10617.944357,0.333527,0.173671,0.276489,0.874321,0.448136,0.580992
0.646022,234118.511711,7.567853,0.646022,0.723151,19.648067,0.765171,0.797715
0.450294,64818.088022,2.124414,0.450294,0.575225,5.682868,0.658181,0.735288
0.277326,25575.048565,0.879105,0.277326,0.409552,2.483023,0.488120,0.613307
0.148822,10666.769135,0.357727,0.148822,0.247955,0.987350,0.315981,0.456532
