CostArea(OptIndex), CostArea, SDI, Sorensen, Jaccard, SDI_a, Sorensen_a, Jaccard_a
107001.842258,107001.842258,0.578643,0.321228,0.463425,0.725391,0.438843,0.569311
107001.842258,107001.842258,0.578643,0.321228,0.463425,0.725391,0.438843,0.569311
107092.628763,107092.628763,0.578918,0.321363,0.463572,0.725687,0.438987,0.569464
107302.400911,107302.400911,0.579719,0.321561,0.463772,0.726580,0.439187,0.569650
107013.564248,107013.564248,0.578680,0.321239,0.463436,0.725431,0.438854,0.569322
212998.759199,212998.759199,1.009728,0.367109,0.508417,1.221451,0.460370,0.591386
122894.135533,122894.135533,0.643928,0.319727,0.461883,0.800611,0.427899,0.560143
112261.598101,112261.598101,0.600630,0.317920,0.459955,0.750904,0.431036,0.562322
108519.802993,108519.802993,0.585325,0.318228,0.460263,0.733248,0.433468,0.564412
107279.221253,107279.221253,0.579714,0.318983,0.461065,0.726501,0.435390,0.566191
107170.261515,107170.261515,0.579674,0.320650,0.462816,0.726675,0.437760,0.568332
106604.960888,106604.960888,0.577407,0.320304,0.462448,0.724087,0.437625,0.568147
106604.960888,106604.960888,0.577407,0.320304,0.462448,0.724087,0.437625,0.568147
106547.704130,106547.704130,0.577239,0.320214,0.462349,0.723909,0.437533,0.568047
106614.181085,106614.181085,0.577437,0.320317,0.462462,0.724120,0.437639,0.568162
106608.209045,106608.209045,0.577417,0.320310,0.462455,0.724098,0.437632,0.568155
121282.945631,121282.945631,0.636137,0.319300,0.461443,0.791339,0.428293,0.560476
106642.580673,106642.580673,0.577525,0.320351,0.462499,0.724215,0.437673,0.568199
106548.950963,106548.950963,0.577242,0.320213,0.462348,0.723912,0.437531,0.568045
106548.950963,106548.950963,0.577242,0.320213,0.462348,0.723912,0.437531,0.568045
106605.583054,106605.583054,0.577408,0.320303,0.462447,0.724088,0.437622,0.568145
106592.521822,106592.521822,0.577367,0.320288,0.462431,0.724044,0.437607,0.568129
106543.415143,106543.415143,0.577226,0.320205,0.462340,0.723894,0.437522,0.568036
106626.560613,106626.560613,0.577410,0.320353,0.462509,0.724080,0.437678,0.568216
106609.672494,106609.672494,0.577419,0.320316,0.462461,0.724099,0.437638,0.568162
106593.799312,106593.799312,0.577371,0.320288,0.462431,0.724048,0.437607,0.568129
106597.934129,106597.934129,0.577383,0.320296,0.462439,0.724061,0.437615,0.568138
106952.279105,106952.279105,0.578511,0.320501,0.462681,0.725305,0.437715,0.568301
106538.797788,106538.797788,0.577078,0.320019,0.462162,0.723719,0.437245,0.567808
106680.313524,106680.313524,0.577675,0.320353,0.462502,0.724389,0.437647,0.568180
106641.340076,106641.340076,0.576954,0.320140,0.462287,0.723280,0.437450,0.568078
106617.783623,106617.783623,0.576875,0.320110,0.462254,0.723191,0.437423,0.568048
106599.367254,106599.367254,0.577393,0.320269,0.462411,0.724074,0.437579,0.568102
106617.737775,106617.737775,0.576869,0.320132,0.462277,0.723182,0.437456,0.568079
106570.311204,106570.311204,0.577309,0.320239,0.462378,0.723985,0.437558,0.568075
106570.890482,106570.890482,0.577312,0.320230,0.462367,0.723988,0.437547,0.568063
106598.317573,106598.317573,0.577385,0.320296,0.462439,0.724063,0.437614,0.568137
106607.529154,106607.529154,0.577412,0.320315,0.462460,0.724092,0.437637,0.568161
106570.320946,106570.320946,0.577310,0.320231,0.462369,0.723985,0.437549,0.568065
106619.397618,106619.397618,0.577451,0.320315,0.462460,0.724135,0.437635,0.568159
106596.202861,106596.202861,0.577379,0.320295,0.462438,0.724057,0.437614,0.568137
106616.124969,106616.124969,0.577440,0.320309,0.462453,0.724124,0.437628,0.568151
106595.774631,106595.774631,0.577377,0.320294,0.462438,0.724055,0.437614,0.568136
106653.352894,106653.352894,0.577499,0.320410,0.462569,0.724177,0.437744,0.568281
106546.662487,106546.662487,0.577236,0.320211,0.462346,0.723905,0.437529,0.568043
106546.662487,106546.662487,0.577236,0.320211,0.462346,0.723905,0.437529,0.568043
106608.314470,106608.314470,0.577417,0.320303,0.462447,0.724099,0.437622,0.568145
106543.832279,106543.832279,0.577227,0.320205,0.462340,0.723896,0.437522,0.568037
106562.453996,106562.453996,0.577286,0.320226,0.462363,0.723960,0.437544,0.568059
106598.061138,106598.061138,0.577384,0.320296,0.462440,0.724062,0.437616,0.568139
106547.078669,106547.078669,0.577237,0.320212,0.462347,0.723907,0.437529,0.568044
106608.314502,106608.314502,0.577417,0.320303,0.462447,0.724099,0.437622,0.568145
106624.608697,106624.608697,0.577405,0.320353,0.462508,0.724074,0.437679,0.568216
106583.067521,106583.067521,0.577347,0.320255,0.462395,0.724026,0.437576,0.568093
106595.771527,106595.771527,0.577377,0.320294,0.462438,0.724055,0.437614,0.568136
106602.335513,106602.335513,0.577398,0.320296,0.462440,0.724077,0.437615,0.568138
106607.829451,106607.829451,0.577413,0.320316,0.462461,0.724093,0.437638,0.568162
106626.449823,106626.449823,0.577472,0.320336,0.462483,0.724157,0.437660,0.568184
106558.294725,106558.294725,0.577270,0.320232,0.462369,0.723942,0.437552,0.568068
106553.228718,106553.228718,0.577257,0.320213,0.462348,0.723928,0.437530,0.568045
106543.416256,106543.416256,0.577226,0.320205,0.462340,0.723894,0.437522,0.568036
106543.416256,106543.416256,0.577226,0.320205,0.462340,0.723894,0.437522,0.568036
106605.584055,106605.584055,0.577408,0.320303,0.462447,0.724088,0.437622,0.568145
106562.453879,106562.453879,0.577286,0.320226,0.462363,0.723960,0.437544,0.568059
106547.078715,106547.078715,0.577237,0.320212,0.462347,0.723907,0.437529,0.568044
