Jaccard(OptIndex), CostArea, SDI, Sorensen, Jaccard, SDI_a, Sorensen_a, Jaccard_a
0.463425,107001.842258,0.578643,0.321228,0.463425,0.725391,0.438843,0.569311
0.463425,107001.842258,0.578643,0.321228,0.463425,0.725391,0.438843,0.569311
0.463572,107092.628763,0.578918,0.321363,0.463572,0.725687,0.438987,0.569464
0.463772,107302.400911,0.579719,0.321561,0.463772,0.726580,0.439187,0.569650
0.463436,107013.564248,0.578680,0.321239,0.463436,0.725431,0.438854,0.569322
0.461982,107266.314532,0.580100,0.319845,0.461982,0.727200,0.436541,0.567210
0.461092,106401.689664,0.575321,0.318975,0.461092,0.721366,0.436101,0.566810
0.461092,106401.689664,0.575321,0.318975,0.461092,0.721366,0.436101,0.566810
0.461092,106401.628953,0.575322,0.318975,0.461092,0.721367,0.436100,0.566809
0.460971,106345.989499,0.575118,0.318862,0.460971,0.721140,0.435978,0.566684
0.461657,106911.130038,0.577093,0.319506,0.461657,0.723325,0.436648,0.567359
0.508353,213084.642611,1.009890,0.367053,0.508353,1.221544,0.460295,0.591331
0.461214,122903.847036,0.643850,0.319076,0.461214,0.800528,0.426996,0.559311
0.461214,122903.847036,0.643850,0.319076,0.461214,0.800528,0.426996,0.559311
0.461487,123184.171813,0.644841,0.319332,0.461487,0.801630,0.427259,0.559577
0.461458,123148.047692,0.644732,0.319305,0.461458,0.801511,0.427232,0.559548
0.461532,123224.684418,0.645012,0.319376,0.461532,0.801822,0.427305,0.559621
0.510246,216926.767404,1.025725,0.369099,0.510246,1.239818,0.461937,0.592763
0.471678,144499.651854,0.730563,0.329100,0.471678,0.900111,0.431574,0.564661
0.466161,132630.957861,0.682781,0.323794,0.466161,0.844973,0.429236,0.561982
0.462486,126783.994826,0.659115,0.320264,0.462486,0.817882,0.426875,0.559486
0.510301,216999.021781,1.026055,0.369158,0.510301,1.240198,0.461996,0.592815
0.471700,144564.548503,0.730699,0.329122,0.471700,0.900242,0.431596,0.564685
0.466593,132952.329336,0.684271,0.324202,0.466593,0.846866,0.429627,0.562321
0.463150,127203.929137,0.660863,0.320906,0.463150,0.819933,0.427583,0.560145
0.462382,125390.167073,0.653555,0.320185,0.462382,0.811452,0.427485,0.559946
0.462289,124578.271971,0.650454,0.320102,0.462289,0.808035,0.427723,0.560077
0.461420,123475.444104,0.645915,0.319276,0.461420,0.802699,0.427065,0.559449
0.461431,123343.470017,0.645493,0.319282,0.461431,0.802375,0.427117,0.559448
0.461623,123406.246672,0.645699,0.319463,0.461623,0.802598,0.427351,0.559675
0.461798,123436.982272,0.645846,0.319632,0.461798,0.802763,0.427559,0.559874
0.461430,123303.457426,0.645042,0.319286,0.461430,0.801645,0.427216,0.559578
0.461454,123317.040993,0.645091,0.319310,0.461454,0.801698,0.427246,0.559606
0.461274,123147.775392,0.644435,0.319136,0.461274,0.800959,0.427069,0.559433
0.461535,123233.625457,0.645041,0.319378,0.461535,0.801855,0.427305,0.559622
0.461461,123317.382656,0.645083,0.319315,0.461461,0.801690,0.427254,0.559615
0.461527,123220.252550,0.644995,0.319371,0.461527,0.801802,0.427299,0.559616
0.461467,123159.275690,0.644768,0.319313,0.461467,0.801551,0.427240,0.559557
0.461205,123059.588699,0.644168,0.319075,0.461205,0.800670,0.427006,0.559365
0.461459,123148.297108,0.644734,0.319306,0.461459,0.801515,0.427233,0.559549
0.461481,123183.586297,0.644833,0.319325,0.461481,0.801620,0.427253,0.559571
0.461353,123167.834005,0.644540,0.319213,0.461353,0.801085,0.427154,0.559516
0.461458,123148.056942,0.644732,0.319305,0.461458,0.801511,0.427232,0.559548
0.461296,122995.370050,0.644157,0.319153,0.461296,0.800865,0.427075,0.559392
0.461536,123220.334240,0.645006,0.319379,0.461536,0.801819,0.427309,0.559625
0.461563,123247.806175,0.645111,0.319405,0.461563,0.801936,0.427335,0.559650
0.461526,123233.506160,0.645004,0.319367,0.461526,0.801808,0.427295,0.559616
0.461442,123151.553022,0.644703,0.319289,0.461442,0.801471,0.427214,0.559534
0.461580,123267.420702,0.645171,0.319421,0.461580,0.802002,0.427352,0.559668
0.461482,123182.310186,0.644835,0.319327,0.461482,0.801624,0.427254,0.559571
0.461434,123134.369531,0.644660,0.319282,0.461434,0.801426,0.427208,0.559526
0.460126,123013.037133,0.643289,0.318038,0.460126,0.799384,0.425235,0.557945
0.460126,123013.037133,0.643289,0.318038,0.460126,0.799384,0.425235,0.557945
0.459965,122844.052292,0.642675,0.317885,0.459965,0.798700,0.425078,0.557789
0.461580,123267.419989,0.645171,0.319421,0.461580,0.802002,0.427352,0.559668
0.460086,122971.439057,0.643142,0.318001,0.460086,0.799221,0.425197,0.557906
0.461321,123127.493286,0.644348,0.319188,0.461321,0.800871,0.427123,0.559481
0.459959,122837.694477,0.642655,0.317881,0.459959,0.798678,0.425073,0.557783
0.459959,122837.694477,0.642655,0.317881,0.459959,0.798678,0.425073,0.557783
0.459959,122837.748859,0.642655,0.317881,0.459959,0.798678,0.425074,0.557784
0.461563,123247.804512,0.645111,0.319405,0.461563,0.801936,0.427335,0.559650
0.459980,122860.604644,0.642761,0.317904,0.459980,0.798796,0.425096,0.557802
0.461980,124113.994167,0.648549,0.319801,0.461980,0.805872,0.427494,0.559848
0.461760,123725.084368,0.646938,0.319593,0.461760,0.804012,0.427400,0.559735
0.461760,123725.084368,0.646938,0.319593,0.461760,0.804012,0.427400,0.559735
0.461624,123552.432606,0.646423,0.319469,0.461624,0.803455,0.427272,0.559599
0.461001,123139.838632,0.644493,0.318873,0.461001,0.801074,0.426670,0.559060
0.461090,123068.086721,0.644506,0.318953,0.461090,0.801299,0.426740,0.559083
0.462626,126988.211668,0.659562,0.320406,0.462626,0.818167,0.427071,0.559716
0.462258,125496.976457,0.653845,0.320062,0.462258,0.811766,0.427296,0.559777
0.461904,124374.612895,0.649536,0.319743,0.461904,0.806837,0.427298,0.559713
0.461297,123542.336013,0.646417,0.319149,0.461297,0.803490,0.426791,0.559158
0.461297,123542.336013,0.646417,0.319149,0.461297,0.803490,0.426791,0.559158
0.461640,123880.756065,0.647688,0.319480,0.461640,0.804907,0.427130,0.559490
0.460706,123844.405133,0.646660,0.318594,0.460706,0.803256,0.425591,0.558330
0.461796,124051.755703,0.648278,0.319626,0.461796,0.805560,0.427280,0.559643
0.461907,124397.869975,0.649794,0.319733,0.461907,0.807330,0.427216,0.559609
0.461907,124397.869975,0.649794,0.319733,0.461907,0.807330,0.427216,0.559609
0.462010,124461.961986,0.650076,0.319833,0.462010,0.807648,0.427322,0.559711
0.461962,124440.879213,0.649950,0.319785,0.461962,0.807503,0.427271,0.559664
0.462150,124619.592936,0.650615,0.319966,0.462150,0.808241,0.427459,0.559848
0.459645,117269.837114,0.620666,0.317624,0.459645,0.773664,0.427845,0.559781
0.460972,120796.889347,0.635275,0.318865,0.460972,0.790629,0.427716,0.559861
0.460972,120796.889347,0.635275,0.318865,0.460972,0.790629,0.427716,0.559861
0.460879,120752.074959,0.635109,0.318776,0.460879,0.790448,0.427619,0.559763
0.460966,120835.140169,0.635401,0.318859,0.460966,0.790769,0.427705,0.559850
