Jaccard_a(OptIndex), CostArea, SDI, Sorensen, Jaccard, SDI_a, Sorensen_a, Jaccard_a
0.569311,107001.842258,0.578643,0.321228,0.463425,0.725391,0.438843,0.569311
0.569311,107001.842258,0.578643,0.321228,0.463425,0.725391,0.438843,0.569311
0.569464,107092.628763,0.578918,0.321363,0.463572,0.725687,0.438987,0.569464
0.569650,107302.400911,0.579719,0.321561,0.463772,0.726580,0.439187,0.569650
0.569322,107013.564248,0.578680,0.321239,0.463436,0.725431,0.438854,0.569322
0.566303,106904.494272,0.578308,0.318934,0.461020,0.724916,0.435547,0.566303
0.567360,106910.917184,0.577093,0.319507,0.461658,0.723326,0.436649,0.567360
0.567360,106910.917184,0.577093,0.319507,0.461658,0.723326,0.436649,0.567360
0.566810,106401.416200,0.575323,0.318976,0.461093,0.721368,0.436101,0.566810
0.567246,106871.563733,0.576942,0.319405,0.461549,0.723156,0.436536,0.567246
0.566810,106401.385677,0.575323,0.318976,0.461093,0.721368,0.436101,0.566810
0.568010,106854.425860,0.578226,0.320259,0.462419,0.725002,0.437429,0.568010
0.569776,108338.029447,0.583989,0.322045,0.464296,0.731630,0.439284,0.569776
0.567737,107253.325914,0.578212,0.319861,0.462036,0.724556,0.437021,0.567737
0.567751,107399.974535,0.578817,0.319901,0.462063,0.725213,0.437055,0.567751
0.602260,98758.073088,0.549579,0.342876,0.485264,0.692541,0.477524,0.602260
0.585041,99551.586169,0.547742,0.329984,0.472440,0.689598,0.456749,0.585041
0.576610,103184.149831,0.560373,0.324778,0.467173,0.703561,0.446790,0.576610
0.572559,105162.023233,0.569777,0.322657,0.464962,0.714825,0.442425,0.572559
0.570365,106444.055430,0.574821,0.321482,0.463741,0.720623,0.439940,0.570365
0.570090,107642.209856,0.579632,0.321684,0.463943,0.726129,0.439583,0.570090
0.568609,107098.393065,0.577894,0.320502,0.462703,0.724258,0.438000,0.568609
0.568704,107733.810591,0.580090,0.320720,0.462928,0.726646,0.438050,0.568704
0.567837,107185.733845,0.578057,0.319924,0.462094,0.724381,0.437149,0.567837
0.566801,106360.991159,0.575222,0.318958,0.461070,0.721262,0.436106,0.566801
0.566801,106360.991159,0.575222,0.318958,0.461070,0.721262,0.436106,0.566801
0.567302,106801.431556,0.576731,0.319434,0.461580,0.722930,0.436601,0.567302
0.567328,106681.932521,0.576345,0.319438,0.461584,0.722504,0.436628,0.567328
0.567522,106896.680759,0.577094,0.319634,0.461793,0.723337,0.436819,0.567522
0.560392,129662.290144,0.670614,0.321780,0.464087,0.831191,0.427710,0.560392
0.560392,129662.290144,0.670614,0.321780,0.464087,0.831191,0.427710,0.560392
0.560637,129941.744810,0.671615,0.322023,0.464339,0.832301,0.427959,0.560637
0.559139,129696.596760,0.669982,0.320899,0.463171,0.830162,0.426101,0.559139
0.560227,129553.280191,0.670016,0.321585,0.463885,0.830431,0.427523,0.560227
