SDI(OptIndex), CostArea, SDI, Sorensen, Jaccard, SDI_a, Sorensen_a, Jaccard_a
0.578643,107001.842258,0.578643,0.321228,0.463425,0.725391,0.438843,0.569311
0.578643,107001.842258,0.578643,0.321228,0.463425,0.725391,0.438843,0.569311
0.578918,107092.628763,0.578918,0.321363,0.463572,0.725687,0.438987,0.569464
0.579719,107302.400911,0.579719,0.321561,0.463772,0.726580,0.439187,0.569650
0.578680,107013.564248,0.578680,0.321239,0.463436,0.725431,0.438854,0.569322
0.581537,107703.848344,0.581537,0.319870,0.462014,0.728776,0.436392,0.567113
0.577864,107119.210117,0.577864,0.319504,0.461653,0.724190,0.436551,0.567279
0.570895,105109.049418,0.570895,0.317940,0.459969,0.716475,0.435169,0.565812
0.570895,105109.049418,0.570895,0.317940,0.459969,0.716475,0.435169,0.565812
0.571009,105116.744297,0.571009,0.317963,0.459989,0.716616,0.435190,0.565824
0.571395,105230.748364,0.571395,0.318091,0.460124,0.717040,0.435326,0.565960
0.570974,105127.954064,0.570974,0.317966,0.459995,0.716565,0.435205,0.565842
1.009854,213037.998212,1.009854,0.367110,0.508417,1.221596,0.460361,0.591377
0.646059,123686.208247,0.646059,0.319793,0.461965,0.802774,0.427803,0.560146
0.600344,112079.347730,0.600344,0.317434,0.459433,0.750733,0.430439,0.561690
0.586954,109037.882694,0.586954,0.318500,0.460552,0.734972,0.433625,0.564634
0.651318,124835.461516,0.651318,0.320074,0.462267,0.809018,0.427516,0.559926
0.613770,115420.913262,0.613770,0.317413,0.459427,0.766060,0.428493,0.560171
0.596931,111382.251185,0.596931,0.316518,0.458481,0.746638,0.429471,0.560837
0.590030,109845.049189,0.590030,0.315696,0.457614,0.738466,0.429026,0.560473
0.583976,108315.502663,0.583976,0.316274,0.458215,0.731555,0.430727,0.561934
0.576227,106324.584552,0.576227,0.316883,0.458839,0.722714,0.432842,0.563701
0.573912,105816.687695,0.573912,0.317657,0.459664,0.719974,0.434290,0.565041
0.571393,105183.354118,0.571393,0.317307,0.459287,0.717090,0.434165,0.564865
0.571838,105332.679814,0.571838,0.317968,0.460001,0.717563,0.435046,0.565724
0.570886,105101.358710,0.570886,0.317809,0.459835,0.716478,0.434961,0.565627
0.570886,105101.358710,0.570886,0.317809,0.459835,0.716478,0.434961,0.565627
0.571167,105154.011045,0.571167,0.317824,0.459844,0.716802,0.434948,0.565608
0.571341,105200.064182,0.571341,0.317945,0.459973,0.716997,0.435093,0.565750
0.570951,105076.669481,0.570951,0.317729,0.459735,0.716572,0.434856,0.565500
1.009830,213033.284381,1.009830,0.367100,0.508408,1.221571,0.460348,0.591366
0.571330,105233.556397,0.571330,0.317860,0.459890,0.716961,0.434985,0.565658
0.570937,105077.781054,0.570937,0.317707,0.459713,0.716553,0.434823,0.565472
0.570937,105077.781054,0.570937,0.317707,0.459713,0.716553,0.434823,0.565472
0.570942,105079.434822,0.570942,0.317711,0.459717,0.716558,0.434826,0.565476
0.570548,104982.542339,0.570548,0.317535,0.459532,0.716114,0.434645,0.565294
0.571331,105196.303801,0.571331,0.317948,0.459975,0.716986,0.435095,0.565752
0.571527,105286.726088,0.571527,0.318016,0.460055,0.717182,0.435174,0.565842
0.571194,105182.368514,0.571194,0.317796,0.459814,0.716820,0.434926,0.565584
0.571300,105215.862847,0.571300,0.317825,0.459846,0.716934,0.434956,0.565616
0.571116,105163.489832,0.571116,0.317758,0.459775,0.716730,0.434877,0.565540
0.571339,105224.840689,0.571339,0.317804,0.459827,0.716982,0.434896,0.565572
0.571577,105306.127133,0.571577,0.317969,0.460008,0.717236,0.435092,0.565773
0.571306,105214.774329,0.571306,0.317817,0.459840,0.716944,0.434938,0.565602
0.571497,105284.758641,0.571497,0.317973,0.460012,0.717145,0.435110,0.565787
0.571154,105169.183240,0.571154,0.317783,0.459799,0.716777,0.434911,0.565569
0.571314,105230.006080,0.571314,0.317860,0.459890,0.716943,0.434985,0.565659
0.570488,104983.665594,0.570488,0.317500,0.459500,0.716038,0.434600,0.565260
0.570488,104983.665594,0.570488,0.317500,0.459500,0.716038,0.434600,0.565260
0.570657,105023.408115,0.570657,0.317554,0.459555,0.716228,0.434656,0.565312
0.571301,105192.319119,0.571301,0.317927,0.459955,0.716950,0.435071,0.565731
0.570967,105115.433289,0.570967,0.317762,0.459781,0.716570,0.434893,0.565555
0.570588,105116.012764,0.570588,0.317598,0.459606,0.715883,0.434723,0.565461
0.570782,105025.488760,0.570782,0.317611,0.459608,0.716388,0.434723,0.565364
0.570783,105071.034769,0.570783,0.317711,0.459730,0.716365,0.434842,0.565508
0.571128,105168.063536,0.571128,0.317863,0.459891,0.716743,0.435006,0.565674
0.571332,105204.410147,0.571332,0.317936,0.459965,0.716982,0.435074,0.565738
0.571069,105123.097106,0.571069,0.317792,0.459809,0.716695,0.434914,0.565573
0.571242,105192.836131,0.571242,0.317938,0.459967,0.716876,0.435102,0.565760
0.571439,105229.974458,0.571439,0.317996,0.460027,0.717103,0.435153,0.565809
0.571348,105209.349371,0.571348,0.317942,0.459971,0.716999,0.435080,0.565744
0.570760,105070.349887,0.570760,0.317692,0.459711,0.716334,0.434813,0.565485
0.570907,105105.790734,0.570907,0.317784,0.459806,0.716500,0.434928,0.565591
0.571176,105151.643830,0.571176,0.317848,0.459868,0.716815,0.434983,0.565639
0.571152,105176.002218,0.571152,0.317917,0.459949,0.716773,0.435080,0.565744
0.570963,105120.940764,0.570963,0.317757,0.459777,0.716561,0.434880,0.565548
0.571391,105208.805591,0.571391,0.317995,0.460023,0.717055,0.435160,0.565810
0.570543,104994.016034,0.570543,0.317532,0.459532,0.716104,0.434642,0.565297
0.570851,105054.026381,0.570851,0.317617,0.459616,0.716457,0.434719,0.565367
0.570970,105134.409418,0.570970,0.317820,0.459849,0.716563,0.434957,0.565632
0.571400,105217.360176,0.571400,0.317996,0.460027,0.717061,0.435153,0.565810
0.571465,105238.227734,0.571465,0.317996,0.460029,0.717134,0.435153,0.565811
0.570594,105016.696172,0.570594,0.317532,0.459534,0.716154,0.434633,0.565294
0.571365,105207.655720,0.571365,0.317959,0.459988,0.717024,0.435107,0.565765
0.571241,105173.911664,0.571241,0.317919,0.459946,0.716884,0.435064,0.565724
0.571092,105171.590967,0.571092,0.317876,0.459910,0.716699,0.435022,0.565698
0.570694,105046.023684,0.570694,0.317628,0.459637,0.716264,0.434743,0.565406
