SDI_a(OptIndex), CostArea, SDI, Sorensen, Jaccard, SDI_a, Sorensen_a, Jaccard_a
0.725391,107001.842258,0.578643,0.321228,0.463425,0.725391,0.438843,0.569311
0.725391,107001.842258,0.578643,0.321228,0.463425,0.725391,0.438843,0.569311
0.725687,107092.628763,0.578918,0.321363,0.463572,0.725687,0.438987,0.569464
0.726580,107302.400911,0.579719,0.321561,0.463772,0.726580,0.439187,0.569650
0.725431,107013.564248,0.578680,0.321239,0.463436,0.725431,0.438854,0.569322
0.728869,107694.543352,0.581596,0.319659,0.461792,0.728869,0.436065,0.566809
0.723519,106922.764631,0.577241,0.319264,0.461394,0.723519,0.436263,0.566995
0.723519,106922.764631,0.577241,0.319264,0.461394,0.723519,0.436263,0.566995
0.723517,106922.662162,0.577240,0.319264,0.461394,0.723517,0.436264,0.566995
0.722969,106990.202916,0.577006,0.319317,0.461448,0.722969,0.436361,0.567169
0.723004,106809.506540,0.576791,0.319068,0.461184,0.723004,0.436042,0.566778
0.726324,107105.918337,0.579365,0.320143,0.462292,0.726324,0.437109,0.567719
0.727115,107136.907421,0.579874,0.320322,0.462479,0.727115,0.437301,0.567841
0.724750,107401.355790,0.578584,0.319592,0.461740,0.724750,0.436608,0.567407
0.724358,107358.427386,0.578278,0.319425,0.461564,0.724358,0.436429,0.567242
0.836802,130948.485181,0.675744,0.322402,0.464720,0.836802,0.428018,0.560813
0.761310,114751.787574,0.609987,0.316877,0.458876,0.761310,0.428325,0.560047
0.738019,110011.711990,0.589837,0.317095,0.459116,0.738019,0.431160,0.562518
0.731060,108662.629485,0.583998,0.318377,0.460463,0.731060,0.434013,0.565089
0.729754,108144.660902,0.582605,0.319734,0.461877,0.729754,0.436172,0.566968
0.725551,107344.361534,0.579004,0.319246,0.461369,0.725551,0.435988,0.566760
0.725333,107363.459866,0.578858,0.319581,0.461727,0.725333,0.436483,0.567238
0.724009,107245.196218,0.577928,0.319539,0.461692,0.724009,0.436551,0.567376
0.723874,107051.787355,0.577580,0.319159,0.461289,0.723874,0.436090,0.566845
0.724321,107185.809090,0.577997,0.319368,0.461511,0.724321,0.436329,0.567084
0.723115,106824.103425,0.576882,0.319049,0.461165,0.723115,0.436011,0.566746
0.723115,106824.103425,0.576882,0.319049,0.461165,0.723115,0.436011,0.566746
0.722810,106748.294556,0.576610,0.318983,0.461092,0.722810,0.435942,0.566677
0.723362,106873.243937,0.577094,0.319199,0.461325,0.723362,0.436185,0.566917
0.723361,106873.149295,0.577094,0.319199,0.461324,0.723361,0.436185,0.566917
0.726869,107393.087729,0.579921,0.320599,0.462778,0.726869,0.437708,0.568308
0.723310,106858.296427,0.577047,0.319186,0.461310,0.723310,0.436171,0.566902
0.722836,106756.870238,0.576634,0.318997,0.461108,0.722836,0.435959,0.566694
0.722836,106756.870238,0.576634,0.318997,0.461108,0.722836,0.435959,0.566694
0.722835,106756.775359,0.576634,0.318997,0.461108,0.722835,0.435959,0.566694
0.723360,106873.000340,0.577093,0.319199,0.461324,0.723360,0.436185,0.566917
0.722835,106756.775498,0.576634,0.318997,0.461108,0.722835,0.435959,0.566694
0.923343,149723.418820,0.750938,0.331586,0.474197,0.923343,0.433072,0.566238
0.778965,118572.570948,0.625322,0.318439,0.460525,0.778965,0.428395,0.560395
0.742215,110807.317989,0.593445,0.316016,0.457972,0.742215,0.429053,0.560610
0.731989,108819.061906,0.584663,0.317667,0.459725,0.731989,0.432841,0.563986
0.724342,107150.389667,0.577992,0.319455,0.461601,0.724342,0.436444,0.567186
0.724414,107164.710133,0.578053,0.319495,0.461642,0.724414,0.436495,0.567234
0.723908,107061.306610,0.577617,0.319281,0.461415,0.723908,0.436248,0.566995
0.723471,106901.067813,0.577193,0.319227,0.461354,0.723471,0.436211,0.566944
0.722941,106993.836030,0.576983,0.319233,0.461367,0.722941,0.436222,0.567053
0.723357,106865.247987,0.577086,0.319212,0.461337,0.723357,0.436206,0.566934
0.722801,106745.549061,0.576601,0.318979,0.461088,0.722801,0.435937,0.566672
0.722801,106745.549061,0.576601,0.318979,0.461088,0.722801,0.435937,0.566672
0.722801,106745.596750,0.576602,0.318979,0.461088,0.722801,0.435937,0.566672
0.723107,106821.702002,0.576875,0.319046,0.461161,0.723107,0.436006,0.566742
0.722801,106745.549113,0.576601,0.318979,0.461088,0.722801,0.435937,0.566672
0.724759,107227.407967,0.578345,0.319584,0.461737,0.724759,0.436572,0.567310
0.723276,107091.970060,0.577291,0.319337,0.461480,0.723276,0.436332,0.567168
0.722801,106745.503264,0.576601,0.318979,0.461088,0.722801,0.435937,0.566672
0.722801,106745.503264,0.576601,0.318979,0.461088,0.722801,0.435937,0.566672
0.723355,106864.924518,0.577084,0.319212,0.461337,0.723355,0.436207,0.566934
0.722801,106765.498785,0.576610,0.318923,0.461038,0.722801,0.435849,0.566604
0.722801,106745.549361,0.576601,0.318979,0.461088,0.722801,0.435937,0.566672
0.724815,107237.595647,0.578393,0.319619,0.461773,0.724815,0.436617,0.567351
0.723734,107014.316832,0.577450,0.319219,0.461353,0.723734,0.436184,0.566932
0.723734,107014.316832,0.577450,0.319219,0.461353,0.723734,0.436184,0.566932
0.723781,107021.795830,0.577489,0.319249,0.461384,0.723781,0.436224,0.566968
0.723780,107022.474825,0.577489,0.319285,0.461423,0.723780,0.436265,0.567012
0.723710,107003.070659,0.577424,0.319254,0.461394,0.723710,0.436227,0.566978
0.723711,107005.158066,0.577428,0.319242,0.461377,0.723711,0.436210,0.566958
0.723709,107005.612140,0.577427,0.319241,0.461376,0.723709,0.436210,0.566958
0.723709,107005.612140,0.577427,0.319241,0.461376,0.723709,0.436210,0.566958
0.723753,107011.584866,0.577463,0.319270,0.461406,0.723753,0.436249,0.566993
0.723706,107004.143974,0.577424,0.319240,0.461375,0.723706,0.436209,0.566957
0.723723,107008.820655,0.577439,0.319246,0.461381,0.723723,0.436215,0.566963
0.723317,106886.500471,0.577061,0.319110,0.461234,0.723317,0.436079,0.566817
0.723636,106981.534829,0.577358,0.319194,0.461325,0.723636,0.436158,0.566903
0.723760,107019.362875,0.577473,0.319254,0.461390,0.723760,0.436223,0.566972
0.723712,107006.351632,0.577430,0.319242,0.461377,0.723712,0.436211,0.566959
