Soersen(OptIndex), CostArea, SDI, Soersen, Jaccard, SDI_a, Soersen_a, Jaccard_a
0.071145,46143.811022,0.159696,0.071145,0.127882,0.352641,0.140932,0.232504
0.071788,46603.185393,0.161255,0.071788,0.128912,0.355993,0.142061,0.234030
0.070051,45212.914595,0.156784,0.070051,0.126175,0.347148,0.139276,0.230296
0.070963,45897.950048,0.159116,0.070963,0.127645,0.352180,0.140833,0.232413
0.071443,46298.580276,0.160232,0.071443,0.128359,0.353828,0.141572,0.233369
0.135918,64227.038960,0.224041,0.135918,0.223583,0.500055,0.397792,0.497775
0.129581,61694.846050,0.215016,0.129581,0.214838,0.479339,0.373872,0.478483
0.129586,61697.127898,0.215023,0.129586,0.214844,0.479349,0.373886,0.478492
0.129456,61644.418260,0.214850,0.129456,0.214672,0.478999,0.373447,0.478143
0.129538,61677.318933,0.214961,0.129538,0.214782,0.479231,0.373734,0.478374
0.129586,61697.135244,0.215023,0.129586,0.214844,0.479349,0.373886,0.478492
0.134765,63641.735818,0.222149,0.134765,0.222112,0.496282,0.395502,0.496101
0.133469,63159.411853,0.220420,0.133469,0.220325,0.492284,0.390129,0.491822
0.131583,62433.837508,0.217887,0.131583,0.217753,0.486625,0.382824,0.485980
0.132171,62706.079315,0.218534,0.132171,0.218375,0.487163,0.383644,0.486399
0.137612,64746.764925,0.226036,0.137612,0.225974,0.505057,0.406545,0.504711
0.135823,64119.036660,0.223622,0.135823,0.223428,0.498993,0.398155,0.498032
0.133332,63124.738147,0.220313,0.133332,0.220148,0.492088,0.389438,0.491283
0.131806,62548.109686,0.218153,0.131806,0.217980,0.486822,0.382952,0.485984
0.130624,62090.293635,0.216518,0.130624,0.216341,0.483059,0.378310,0.482202
0.130096,61902.321717,0.215697,0.130096,0.215518,0.480730,0.375611,0.479865
0.130712,62149.078965,0.216520,0.130712,0.216339,0.482454,0.377759,0.481579
0.130773,62178.174677,0.216577,0.130773,0.216395,0.482447,0.377798,0.481569
0.129567,61687.393424,0.215013,0.129567,0.214832,0.479399,0.373901,0.478525
0.129645,61718.700784,0.215117,0.129645,0.214935,0.479613,0.374168,0.478739
0.129645,61718.708302,0.215117,0.129645,0.214935,0.479613,0.374168,0.478739
0.129645,61718.708131,0.215117,0.129645,0.214935,0.479613,0.374168,0.478739
0.129567,61687.393414,0.215013,0.129567,0.214832,0.479399,0.373901,0.478525
0.128394,61181.690233,0.213356,0.128394,0.213281,0.476022,0.370309,0.475660
0.129515,61665.593530,0.214953,0.129515,0.214771,0.479314,0.373771,0.478432
0.129558,61682.978949,0.215008,0.129558,0.214826,0.479421,0.373908,0.478540
0.129515,61665.593710,0.214953,0.129515,0.214771,0.479314,0.373771,0.478432
0.129515,61665.593539,0.214953,0.129515,0.214771,0.479314,0.373771,0.478432
0.129444,61637.194751,0.214856,0.129444,0.214674,0.479104,0.373514,0.478223
0.115059,57220.086673,0.200317,0.115059,0.195010,0.449258,0.311003,0.424099
0.133324,63053.428817,0.220271,0.133324,0.220256,0.492612,0.390835,0.492523
0.133735,63269.927710,0.220646,0.133735,0.220590,0.492310,0.390554,0.492039
0.132686,62872.489697,0.219299,0.132686,0.219188,0.489421,0.386557,0.488888
