Sorensen(OptIndex), CostArea, SDI, Sorensen, Jaccard, SDI_a, Sorensen_a, Jaccard_a
0.321228,107001.842258,0.578643,0.321228,0.463425,0.725391,0.438843,0.569311
0.321228,107001.842258,0.578643,0.321228,0.463425,0.725391,0.438843,0.569311
0.321363,107092.628763,0.578918,0.321363,0.463572,0.725687,0.438987,0.569464
0.321561,107302.400911,0.579719,0.321561,0.463772,0.726580,0.439187,0.569650
0.321239,107013.564248,0.578680,0.321239,0.463436,0.725431,0.438854,0.569322
0.319658,107178.952924,0.579796,0.319658,0.461783,0.726864,0.436327,0.566997
0.318860,106344.805435,0.575117,0.318860,0.460968,0.721138,0.435974,0.566680
0.318860,106344.805435,0.575117,0.318860,0.460968,0.721138,0.435974,0.566680
0.318976,106401.491930,0.575323,0.318976,0.461092,0.721368,0.436100,0.566809
0.319463,106906.320928,0.577066,0.319463,0.461610,0.723296,0.436606,0.567312
0.318724,106290.623966,0.574914,0.318724,0.460824,0.720912,0.435813,0.566522
0.319980,107787.856615,0.581891,0.319980,0.462127,0.729177,0.436495,0.567215
0.321091,108143.323379,0.583428,0.321091,0.463299,0.731070,0.437949,0.568527
0.319858,107427.238164,0.578991,0.319858,0.462032,0.725462,0.436882,0.567624
0.320075,107528.979023,0.579201,0.320075,0.462266,0.725637,0.437184,0.567926
0.367115,213064.925141,1.009964,0.367115,0.508422,1.221726,0.460359,0.591376
0.323684,133540.113178,0.686328,0.323684,0.466078,0.849253,0.428680,0.561481
0.317482,115387.652390,0.611960,0.317482,0.459515,0.763387,0.428925,0.560695
0.317513,110212.246860,0.591072,0.317513,0.459544,0.739493,0.431598,0.562915
0.317513,110212.246860,0.591072,0.317513,0.459544,0.739493,0.431598,0.562915
0.317614,110341.051710,0.591493,0.317614,0.459653,0.739954,0.431700,0.563021
0.317419,110251.529722,0.591206,0.317419,0.459443,0.739641,0.431484,0.562796
0.317396,110217.379297,0.591088,0.317396,0.459419,0.739510,0.431457,0.562772
0.316978,109008.797967,0.587106,0.316978,0.458941,0.735069,0.431301,0.562528
0.317646,110516.278553,0.591851,0.317646,0.459693,0.740288,0.431734,0.563071
0.317646,110516.278553,0.591851,0.317646,0.459693,0.740288,0.431734,0.563071
0.317569,110442.095638,0.591614,0.317569,0.459613,0.740031,0.431651,0.562988
0.317731,110529.564680,0.591914,0.317731,0.459782,0.740357,0.431828,0.563166
0.317589,110468.822821,0.591690,0.317589,0.459633,0.740110,0.431671,0.563008
0.317028,109971.794781,0.589905,0.317028,0.459039,0.738138,0.431083,0.562420
0.317478,110428.006689,0.591480,0.317478,0.459524,0.739868,0.431522,0.562880
0.317555,110436.965615,0.591592,0.317555,0.459600,0.740010,0.431633,0.562973
