CostArea(OptIndex), CostArea, SDI, Sorensen, Jaccard, SDI_a, Sorensen_a, Jaccard_a
10615809.696421,10615809.696421,8.950803,0.581090,0.620922,9.098662,0.582277,0.621597
10595834.465545,10595834.465545,8.931567,0.580821,0.620769,9.079069,0.582009,0.621445
10652164.886402,10652164.886402,8.978738,0.581313,0.621050,9.127014,0.582497,0.621723
10631296.286780,10631296.286780,8.957430,0.580909,0.620821,9.105295,0.582095,0.621496
10625108.743365,10625108.743365,8.955476,0.581108,0.620933,9.103361,0.582295,0.621608
10535526.877282,10535526.877282,8.884404,0.580563,0.620620,9.031187,0.581757,0.621300
10524823.940844,10524823.940844,8.875168,0.580422,0.620540,9.021795,0.581617,0.621220
10648452.099574,10648452.099574,8.977490,0.581319,0.621053,9.125777,0.582503,0.621726
5500426.241129,5500426.241129,4.689213,0.624933,0.645123,4.767500,0.627539,0.646507
5472988.677642,5472988.677642,4.664929,0.624726,0.645012,4.742796,0.627344,0.646403
5401543.073538,5401543.073538,4.605067,0.624266,0.644767,4.681951,0.626914,0.646175
5356346.444942,5356346.444942,4.564761,0.623906,0.644575,4.640944,0.626574,0.645995
5391212.446925,5391212.446925,4.596662,0.624119,0.644689,4.673412,0.626771,0.646099
5371170.537930,5371170.537930,4.578710,0.624025,0.644638,4.655147,0.626686,0.646054
5397522.147356,5397522.147356,4.601916,0.624165,0.644713,4.678752,0.626813,0.646122
5354480.540331,5354480.540331,4.566157,0.623901,0.644572,4.642411,0.626569,0.645991
5426779.336323,5426779.336323,4.627082,0.624562,0.644925,4.704342,0.627200,0.646327
5459525.569674,5459525.569674,4.657846,0.624900,0.645105,4.735664,0.627522,0.646498
5361813.198428,5361813.198428,4.570881,0.624033,0.644642,4.647190,0.626699,0.646061
5358414.642758,5358414.642758,4.566705,0.624034,0.644643,4.642923,0.626703,0.646063
5371813.476093,5371813.476093,4.579493,0.624121,0.644689,4.655947,0.626782,0.646105
5387095.605736,5387095.605736,4.594338,0.624291,0.644780,4.671069,0.626945,0.646191
5374536.263392,5374536.263392,4.581216,0.624282,0.644775,4.657689,0.626944,0.646191
5329074.412286,5329074.412286,4.541766,0.623828,0.644533,4.617569,0.626510,0.645960
19811887.343183,19811887.343183,17.464268,0.623131,0.644102,17.764939,0.623828,0.644473
11070221.851794,11070221.851794,9.651936,0.631882,0.648794,9.816474,0.633174,0.649474
8238530.383121,8238530.383121,7.139237,0.631345,0.648516,7.260262,0.633088,0.649433
6830517.234233,6830517.234233,5.887854,0.629013,0.647286,5.987178,0.631112,0.648394
6328588.782474,6328588.782474,5.436218,0.628379,0.646952,5.527626,0.630648,0.648151
5836328.321711,5836328.321711,5.005828,0.626362,0.645881,5.089880,0.628811,0.647180
5769074.346133,5769074.346133,4.908380,0.626625,0.646024,4.990169,0.629128,0.647351
5622822.534536,5622822.534536,4.777480,0.625925,0.645652,4.856985,0.628492,0.647014
5438747.092652,5438747.092652,4.639179,0.624470,0.644876,4.716671,0.627100,0.646274
5410989.251464,5410989.251464,4.614400,0.624413,0.644845,4.691461,0.627057,0.646251
5421869.018544,5421869.018544,4.625383,0.624315,0.644793,4.702654,0.626951,0.646195
5470946.185606,5470946.185606,4.666637,0.624878,0.645093,4.744587,0.627496,0.646484
5453259.334016,5453259.334016,4.650706,0.624727,0.645013,4.728377,0.627353,0.646408
5441151.005955,5441151.005955,4.641302,0.624629,0.644960,4.718830,0.627259,0.646358
5466459.517804,5466459.517804,4.662916,0.624638,0.644965,4.740805,0.627255,0.646356
5405951.486097,5405951.486097,4.610984,0.624328,0.644800,4.688001,0.626973,0.646206
5433265.093839,5433265.093839,4.635689,0.624582,0.644935,4.713142,0.627214,0.646334
3369620.383947,3369620.383947,2.854689,0.453591,0.539753,2.902063,0.455878,0.541360
3428888.455043,3428888.455043,2.898790,0.455926,0.541422,2.946798,0.458202,0.543015
3396035.527724,3396035.527724,2.875046,0.454660,0.540516,2.922725,0.456942,0.542117
3392063.171109,3392063.171109,2.872413,0.454513,0.540410,2.920061,0.456795,0.542011
3376361.494931,3376361.494931,2.860708,0.453889,0.539964,2.908187,0.456175,0.541569
3375374.205261,3375374.205261,2.857090,0.453764,0.539883,2.904465,0.456051,0.541490
3389316.159818,3389316.159818,2.868521,0.454349,0.540298,2.916079,0.456633,0.541901
3369397.002414,3369397.002414,2.853498,0.453552,0.539728,2.900836,0.455840,0.541336
23771127.853220,23771127.853220,20.288477,0.625062,0.645186,20.627561,0.625663,0.645505
7486533.578835,7486533.578835,6.328128,0.550084,0.602758,6.432915,0.551590,0.603658
4831150.490263,4831150.490263,4.080623,0.501859,0.572583,4.148147,0.503810,0.573846
4051045.889381,4051045.889381,3.420565,0.479057,0.557431,3.477148,0.481182,0.558861
23983156.030846,23983156.030846,20.455315,0.625399,0.645366,20.796964,0.625996,0.645683
7993607.228136,7993607.228136,6.746903,0.556176,0.606404,6.858468,0.557619,0.607258
4993906.165094,4993906.165094,4.216798,0.505908,0.575214,4.286554,0.507826,0.576447
4123412.584305,4123412.584305,3.482135,0.481442,0.559044,3.539744,0.483550,0.560456
3693182.017780,3693182.017780,3.120111,0.466405,0.548757,3.171751,0.468616,0.550277
3497978.053837,3497978.053837,2.958074,0.458812,0.543452,3.007078,0.461069,0.545024
3457786.898435,3457786.898435,2.929737,0.457321,0.542389,2.978363,0.459586,0.543970
3474772.866165,3474772.866165,2.942789,0.457985,0.542860,2.991609,0.460246,0.544437
3396271.274949,3396271.274949,2.874645,0.454652,0.540512,2.922308,0.456934,0.542113
3408740.288104,3408740.288104,2.886073,0.455207,0.540902,2.933940,0.457485,0.542499
3363256.245782,3363256.245782,2.847942,0.453277,0.539534,2.895182,0.455567,0.541144
3400286.212247,3400286.212247,2.879407,0.454863,0.540658,2.927172,0.457143,0.542256
3327701.130469,3327701.130469,2.817290,0.451718,0.538428,2.864014,0.454017,0.540049
3347459.739701,3347459.739701,2.838401,0.452708,0.539120,2.885544,0.455000,0.540732
3391238.119715,3391238.119715,2.870660,0.454446,0.540366,2.918262,0.456729,0.541968
3407456.843181,3407456.843181,2.885031,0.455154,0.540865,2.932881,0.457432,0.542461
3371978.406459,3371978.406459,2.855490,0.453657,0.539803,2.902858,0.455944,0.541410
3435247.555487,3435247.555487,2.909713,0.456356,0.541711,2.957991,0.458627,0.543299
3333523.376079,3333523.376079,2.824153,0.452031,0.538645,2.871021,0.454327,0.540263
3341554.815292,3341554.815292,2.829402,0.452333,0.538865,2.876332,0.454629,0.540481
3374690.758417,3374690.758417,2.857195,0.453755,0.539875,2.904582,0.456042,0.541482
3368055.875342,3368055.875342,2.850656,0.453443,0.539656,2.897920,0.455732,0.541265
3383930.315535,3383930.315535,2.865336,0.454160,0.540161,2.912863,0.456445,0.541765
3355513.853097,3355513.853097,2.841972,0.452961,0.539308,2.889123,0.455252,0.540920
3405164.772323,3405164.772323,2.883185,0.455059,0.540798,2.931006,0.457339,0.542395
3337117.523042,3337117.523042,2.826351,0.452162,0.538741,2.873242,0.454458,0.540358
1602063.870804,1602063.870804,1.329365,0.494416,0.567755,1.350982,0.500320,0.571620
1571687.669090,1571687.669090,1.304544,0.493439,0.567108,1.325763,0.499435,0.571038
1572684.572404,1572684.572404,1.304816,0.492373,0.566408,1.326030,0.498339,0.570327
1568207.095252,1568207.095252,1.301198,0.491782,0.566016,1.322355,0.497752,0.569940
1594751.209836,1594751.209836,1.324338,0.493964,0.567456,1.345889,0.499878,0.571329
1572028.773657,1572028.773657,1.303445,0.493629,0.567237,1.324624,0.499638,0.571174
1605242.431378,1605242.431378,1.333185,0.494759,0.567980,1.354883,0.500653,0.571834
1570449.221683,1570449.221683,1.303870,0.492329,0.566375,1.325084,0.498299,0.570295
1001813.793510,1001813.793510,0.838976,0.436340,0.527439,0.852744,0.443621,0.532709
1017035.620632,1017035.620632,0.852060,0.437620,0.528369,0.866048,0.444832,0.533577
1009860.968524,1009860.968524,0.845991,0.438444,0.528973,0.859879,0.445734,0.534229
1020140.507194,1020140.507194,0.854161,0.438249,0.528831,0.868175,0.445464,0.534035
1014530.769609,1014530.769609,0.849259,0.439064,0.529426,0.863189,0.446346,0.534672
1009534.651786,1009534.651786,0.845511,0.438345,0.528901,0.859387,0.445636,0.534159
1018943.816990,1018943.816990,0.853020,0.440106,0.530184,0.867013,0.447389,0.535421
1015843.472709,1015843.472709,0.850423,0.439249,0.529561,0.864374,0.446528,0.534802
1015774.225078,1015774.225078,0.850499,0.431997,0.524247,0.864453,0.439044,0.529387
1006468.186962,1006468.186962,0.841919,0.432992,0.524984,0.855720,0.440143,0.530192
1020535.099951,1020535.099951,0.853682,0.438359,0.528916,0.867675,0.445580,0.534125
