SDI(OptIndex), CostArea, SDI, Sorensen, Jaccard, SDI_a, Sorensen_a, Jaccard_a
0.373681,320473.308295,0.373681,0.281280,0.360025,0.381513,0.290250,0.367289
0.373681,320473.308295,0.373681,0.281280,0.360025,0.381513,0.290250,0.367289
0.372751,319675.307031,0.372751,0.281936,0.360561,0.380563,0.290971,0.367866
0.372732,319659.449821,0.372732,0.281929,0.360556,0.380544,0.290965,0.367861
0.373682,320473.474940,0.373682,0.281280,0.360025,0.381513,0.290250,0.367289
0.373023,319908.658090,0.373023,0.282052,0.360656,0.380841,0.291088,0.367959
0.373070,319949.290126,0.373070,0.281680,0.360352,0.380889,0.290691,0.367642
0.372991,319880.857283,0.372991,0.282036,0.360643,0.380808,0.291072,0.367946
0.688718,590652.383059,0.688718,0.453605,0.475674,0.703152,0.466211,0.482515
0.623487,534708.831421,0.623487,0.405675,0.447926,0.636553,0.416809,0.454630
0.430021,368790.564258,0.430021,0.284699,0.362813,0.439033,0.292653,0.369207
0.320263,274661.102663,0.320263,0.225900,0.311200,0.326975,0.232637,0.317534
0.320263,274661.102663,0.320263,0.225900,0.311200,0.326975,0.232637,0.317534
0.320370,274752.928089,0.320370,0.226042,0.311334,0.327084,0.232785,0.317671
0.320300,274692.781690,0.320300,0.225915,0.311214,0.327013,0.232652,0.317548
0.320925,275228.682930,0.320925,0.226666,0.311926,0.327651,0.233435,0.318277
0.320367,274749.886944,0.320367,0.226038,0.311331,0.327081,0.232781,0.317668
0.320218,274622.343163,0.320218,0.225807,0.311112,0.326929,0.232539,0.317443
0.320389,274769.147393,0.320389,0.226049,0.311341,0.327104,0.232792,0.317678
0.512810,439791.538057,0.512810,0.340975,0.405452,0.523557,0.350545,0.412141
0.416062,356818.942410,0.416062,0.276765,0.356305,0.424781,0.284536,0.362680
0.373448,320272.978117,0.373448,0.254834,0.337602,0.381274,0.262179,0.343986
0.348212,298630.535241,0.348212,0.241344,0.325549,0.355510,0.248413,0.331919
1.114361,955688.365295,1.114361,0.373857,0.427824,1.137716,0.379079,0.431223
0.933951,800966.890815,0.933951,0.272768,0.352975,0.953525,0.276079,0.355735
0.395079,338824.046207,0.395079,0.173259,0.257344,0.403359,0.176436,0.260832
0.471704,404538.475744,0.471704,0.446439,0.471704,0.481590,0.464487,0.481590
0.330532,283467.514263,0.330532,0.238737,0.323169,0.337459,0.246033,0.329788
0.326211,279761.955961,0.326211,0.232996,0.317868,0.333047,0.240035,0.324356
0.323767,277666.325756,0.323767,0.229821,0.314901,0.330553,0.236720,0.321316
0.322188,276311.950103,0.322188,0.227842,0.313038,0.328940,0.234655,0.319409
0.320381,274762.089132,0.320381,0.226082,0.311373,0.327095,0.232827,0.317711
0.320381,274762.089132,0.320381,0.226082,0.311373,0.327095,0.232827,0.317711
0.321317,275564.549561,0.321317,0.226886,0.312134,0.328051,0.233660,0.318485
0.320375,274756.878821,0.320375,0.226075,0.311366,0.327089,0.232820,0.317704
0.320882,275192.036661,0.320882,0.226691,0.311950,0.327607,0.233462,0.318302
0.320302,274694.798194,0.320302,0.226070,0.311361,0.327015,0.232816,0.317701
0.320764,275090.851663,0.320764,0.226325,0.311602,0.327487,0.233076,0.317943
0.320764,275090.903041,0.320764,0.226325,0.311603,0.327487,0.233076,0.317943
0.474252,406723.327900,0.474252,0.451025,0.474252,0.484191,0.469351,0.484191
0.320226,274628.945981,0.320226,0.226309,0.311588,0.326937,0.233071,0.317938
0.320226,274628.945981,0.320226,0.226309,0.311588,0.326937,0.233071,0.317938
0.320751,275079.871242,0.320751,0.226968,0.312211,0.327474,0.233758,0.318577
0.320062,274488.700481,0.320062,0.226245,0.311527,0.326770,0.233007,0.317878
0.320062,274488.702627,0.320062,0.226245,0.311527,0.326770,0.233007,0.317878
0.321483,275707.360730,0.321483,0.227312,0.312537,0.328221,0.234108,0.318901
0.321402,275637.549241,0.321402,0.227143,0.312377,0.328137,0.233930,0.318736
0.320336,274723.504509,0.320336,0.226533,0.311800,0.327049,0.233307,0.318157
0.473496,406075.713703,0.473496,0.449661,0.473496,0.483420,0.467904,0.483420
0.405987,348178.679049,0.405987,0.338731,0.403861,0.414495,0.350745,0.412280
0.355401,304795.398930,0.355401,0.272267,0.352555,0.362849,0.281108,0.359884
