SDI_a(OptIndex), CostArea, SDI, Sorensen, Jaccard, SDI_a, Sorensen_a, Jaccard_a
11.602050,9745794.741107,11.363889,0.466103,0.482457,11.602050,0.466889,0.482878
11.593526,9738634.982607,11.355540,0.466301,0.482563,11.593526,0.467088,0.482984
11.600412,9744418.968940,11.362285,0.466202,0.482510,11.600412,0.466989,0.482931
11.567676,9716921.010223,11.330221,0.465845,0.482318,11.567676,0.466632,0.482740
11.592583,9737843.068066,11.354617,0.465967,0.482384,11.592583,0.466753,0.482805
11.622528,9762997.076210,11.383947,0.466281,0.482552,11.622528,0.467066,0.482972
9.333269,7840004.454668,9.141680,0.458154,0.478163,9.333269,0.459098,0.478677
11.592370,9737663.879262,11.354408,0.466150,0.482482,11.592370,0.466937,0.482903
7.256692,6095667.081044,7.107731,0.438330,0.467139,7.256692,0.439443,0.467770
6.644510,5581430.529790,6.508115,0.481525,0.490589,6.644510,0.482992,0.491349
6.580007,5527247.219453,6.444936,0.481422,0.490535,6.580007,0.482902,0.491303
6.576949,5524678.732035,6.441941,0.481302,0.490473,6.576949,0.482783,0.491241
6.564271,5514029.166331,6.429523,0.481385,0.490516,6.564271,0.482870,0.491286
6.579069,5526459.726845,6.444018,0.481396,0.490522,6.579069,0.482877,0.491289
6.600986,5544869.762735,6.465484,0.481429,0.490539,6.600986,0.482905,0.491304
6.594701,5539590.238508,6.459328,0.481432,0.490540,6.594701,0.482909,0.491306
6.591280,5536716.577378,6.455977,0.481436,0.490542,6.591280,0.482914,0.491309
4.487737,3769727.128981,4.395615,0.486861,0.493343,4.487737,0.489085,0.494482
4.462564,3748581.982904,4.370959,0.486908,0.493367,4.462564,0.489145,0.494513
4.470381,3755148.537636,4.378616,0.486834,0.493329,4.470381,0.489067,0.494473
4.469849,3754701.111983,4.378094,0.486807,0.493316,4.469849,0.489040,0.494459
4.480416,3763577.514672,4.388444,0.486837,0.493331,4.480416,0.489064,0.494472
4.466281,3751704.559663,4.374600,0.486776,0.493299,4.466281,0.489010,0.494444
4.474553,3758652.905390,4.382702,0.486825,0.493325,4.474553,0.489056,0.494467
4.460490,3746839.518185,4.368927,0.486777,0.493300,4.460490,0.489014,0.494446
4.278352,3593842.411671,4.190528,0.486291,0.493050,4.278352,0.488619,0.494244
4.313494,3623362.184422,4.224949,0.486400,0.493106,4.313494,0.488710,0.494291
4.308342,3619034.765068,4.219903,0.486372,0.493092,4.308342,0.488684,0.494277
4.293990,3606978.605032,4.205845,0.486339,0.493075,4.293990,0.488659,0.494264
4.313784,3623605.549299,4.225233,0.486393,0.493103,4.313784,0.488703,0.494287
4.323882,3632088.124595,4.235124,0.486418,0.493116,4.323882,0.488723,0.494297
4.316998,3626305.459139,4.228381,0.486402,0.493107,4.316998,0.488710,0.494290
4.284280,3598821.811098,4.196334,0.486304,0.493057,4.284280,0.488629,0.494249
0.493592,414620.282938,0.483460,0.467979,0.483460,0.493592,0.487346,0.493592
0.493592,414620.450335,0.483460,0.467979,0.483460,0.493592,0.487346,0.493592
0.493592,414620.115895,0.483459,0.467978,0.483459,0.493592,0.487346,0.493592
0.493592,414620.282827,0.483460,0.467979,0.483460,0.493592,0.487346,0.493592
0.493592,414620.282940,0.483460,0.467979,0.483460,0.493592,0.487346,0.493592
0.493592,414620.282862,0.483460,0.467979,0.483460,0.493592,0.487346,0.493592
0.493592,414620.282917,0.483460,0.467979,0.483460,0.493592,0.487346,0.493592
0.493592,414620.282850,0.483460,0.467979,0.483460,0.493592,0.487346,0.493592
0.493583,414612.742000,0.483451,0.467962,0.483451,0.493583,0.487328,0.493583
0.493583,414612.939313,0.483451,0.467963,0.483451,0.493583,0.487329,0.493583
0.493583,414612.574975,0.483451,0.467962,0.483451,0.493583,0.487328,0.493583
0.493583,414612.741890,0.483451,0.467962,0.483451,0.493583,0.487328,0.493583
0.493583,414612.742003,0.483451,0.467962,0.483451,0.493583,0.487328,0.493583
0.493583,414612.740669,0.483451,0.467962,0.483451,0.493583,0.487328,0.493583
0.493583,414612.741980,0.483451,0.467962,0.483451,0.493583,0.487328,0.493583
0.493583,414612.741913,0.483451,0.467962,0.483451,0.493583,0.487328,0.493583
0.491705,413035.144381,0.481611,0.464527,0.481611,0.491705,0.483680,0.491705
0.491705,413035.318511,0.481612,0.464528,0.481612,0.491705,0.483681,0.491705
0.491705,413034.978446,0.481611,0.464527,0.481611,0.491705,0.483680,0.491705
